Date,Price,Volume,Market,Volatility,Price-to-Volume Ratio,SMA_50,OpenMarket
2017-01-01,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-02,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-03,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-04,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-05,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-06,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-07,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-08,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-09,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-10,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-11,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-12,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-13,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-14,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-15,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-16,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-17,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-18,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-19,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-20,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-21,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-22,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-23,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-24,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-25,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-26,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-27,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-28,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-29,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-30,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-01-31,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-02-01,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-02-02,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-02-03,0.0,0.0,SP500,0.0,0.0,0.0,0
2017-02-04,0.0,0.0,SP500,0.0,0.0,0.0,0
